S_australia_rev	S_austria_rev	S_belgium_rev	S_brazil_rev	S_bulgaria_rev	S_chile_rev	S_czechrepublic_rev	S_finland_rev	S_france_rev	S_germany_rev	S_greece_rev	S_hungary_rev	S_iceland_rev	S_italy_rev	S_lebanon_rev	S_mexico_rev	S_netherlands_rev	S_newzealand_rev	S_norway_rev	S_poland_rev	S_portugal_rev	S_singapore_rev	S_spain_rev	S_turkey_rev	S_unitedarabemirates_rev	S_unitedkingdom_rev	S_us_rev
.0180066	.0118754	.0182092	.0104694	.0320801	.0030004	.0032094	.0067394	.0129864	.0108548	.006544	.0107548	.0116659	.0072048	.013189	.0060781	.0184978	.0150341	.0121987	.0131846	.0083201	.0228353	.0069859	.0091178	.0171681	.0091039	.0142207
.0696243	.1304489	.1226938	.0943213	.1438537	.1305149	.1932942	.188947	.1094626	.1541363	.1458296	.1229418	.0838206	.1208054	.0651759	.086601	.1453288	.0724574	.1682467	.1602531	.097123	.0637716	.1087342	.1498187	.0885879	.0977741	.0622174
.0209953	.045737	.0447679	.0135985	.0330075	.0061051	.018119	.0357751	.020231	.0462362	.0176345	.0235301	.0294119	.0137173	.0319886	.0109943	.0436615	.0142983	.0311381	.0130167	.0257362	.0061908	.0242754	.0097907	.0196125	.0226911	.0258842
.09318	.0657645	.0537396	.0692365	.0758012	.1125103	.0910236	.0505527	.0616186	.095659	.0573241	.1007698	.0643076	.0612309	.0765635	.0911139	.0566746	.1107461	.0691526	.0765873	.0522013	.1432464	.0446091	.0791888	.1004361	.0820448	.0909472
.0289133	.0254553	.0211301	.0072452	.0220545	.0092891	.0115236	.018371	.0154577	.0162372	.04434	.0456506	.0431277	.014756	.0437951	.0102124	.0286441	.0174438	.0107457	.0197874	.0248404	.0211201	.0113418	.0142276	.0286517	.0305888	.0303351
.0413579	.0536314	.0509456	.1041137	.0660216	.0343781	.0532125	.0714189	.0550778	.0439783	.0395121	.0606136	.0294143	.0454602	.0603255	.0795129	.0609831	.0490275	.057282	.0434116	.0846279	.029302	.0534842	.0396119	.0450876	.0389355	.0370663
.0171268	.0279472	.0170639	.0218399	.0224007	.0068433	.0114523	.0176736	.0110067	.0269709	.0119543	.0203259	.0262809	.0216496	.0224701	.0099681	.0217504	.0147751	.0135351	.0125823	.0281401	.0092046	.020397	.0143103	.0114434	.0184409	.0144019
.0067691	.0030865	.0019592	.0030644	.0067338	.0023445	.0014335	.0032571	.0041933	.0029391	.0015365	.0047708	.0089369	.0086668	.0041294	.0026174	.0043658	.0029466	.0009734	.0037622	.0076444	.003336	.0040116	.0047448	.0027784	.0039628	.0024937
.0106399	.009677	.0165654	.006603	.0042029	.0023625	.0067975	.0099095	.0584499	.0135825	.0213816	.0025266	.0158637	.0174271	.0078536	.0053678	.0117764	.0076121	.0055246	.006687	.0099289	.0017362	.0268052	.0007324	.0026831	.0284727	.0115292
.0141415	.0046876	.0067814	.01326	.0157132	.0249889	.0123271	.00904	.0082226	.0072484	.0143598	.0176485	.017724	.0050755	.0130184	.0126358	.005892	.0165973	.0070606	.0132698	.0072561	.025515	.0206554	.0149499	.0136539	.0140614	.0215638
